,caption,class
224,Someone is clapping their hands.,[19]
225,Tape is playing badly.,[68]
226,Footsteps are heard in snow.,[73]
227,Someone is playing a melodic improvisation on an accordion.,[1]
228,Knocking on wooden door from inside.,[44]
229,Someone is walking at a normal pace.,[73]
230,A subby bass drum is made by layering hits on a piece of sound treatment foam.,[5]
231,Someone is clapping a toilet lid.,[19]
232,A window with a nice sounding air intake fan is in the men's changing room of a performance center.,[48]
233,A jolly scissor is snapping.,[57]
234,"A woman is talking and saying ""do it with awareness."".",[32]
235,"A female voice is saying ""vee em"".",[32]
236,A strummed chord with a high-end twang is heard.,[67]
237,Someone is chatting in a child's voice.,[41]
238,Walking through snow is heard.,[73]
239,"Pigeons are inside a temple and strange, eerie noises like water drips, bat sounds, and cave-like reverb are heard.",[28]
240,Someone is playing a jar by stroking and tapping it with its lid.,[68]
241,Cat meows are recorded.,[49]
242,"Fireworks, water dripping, human voices, and traffic noise are heard.","[28, 71]"
243,A somber klezmer style improvisation with a pocket-clarinet and an accordion.,[1]
244,"Footsteps, voices, wind, cars, bells, birds, and seagulls are heard in a city park.",[73]
245,Sound of a person walking.,[73]
246,People are walking and listening.,[73]
247,A glitch loop from a bent keyboard.,[20]
248,Someone is walking through a shopping mall.,[73]
249,A very crazy loop from a circuit-bent keyboard.,[20]
250,Walking over gravel.,[73]
251,Something is being strummed and plucked.,[67]
252,Someone is walking on stone.,[73]
253,Footsteps and birds are making sounds on a ground with sand and small rocks near the beach with cars in the background.,[73]
254,Footsteps are over leaves.,[73]
255,A small dog is barking.,[4]
256,Chirping sound is coming from inside a pile of firewood.,[17]
257,An air-conditioner fan is turning on and off.,[48]
258,People are walking and talking in a small town.,[73]
259,A mantelpiece clock is ticking.,[69]
260,A crazy glitch loop is being played on a circuit-bent keyboard.,[20]
261,Someone is walking into their house.,[73]
262,Scissors are being opened and closed.,[57]
263,"A man is saying ""beware the octopus"" in a hoarse whisper.","[76, 46]"
264,A hihat beat is heard.,[41]
265,Something is being strummed and plucked and recorded with a microphone.,[67]
266,Someone is walking on stone steps with works in progress around.,[73]
267,"Microphones capture footsteps, a car alarm, aircraft, and birds among tree branches.",[73]
268,"There is wind, car noise, construction noise, falling water, bird noise, and footsteps.",[73]
269,Someone is walking in an exposition with sneakers.,[73]
270,Someone is opening a dish when cooking.,[26]
271,A person is walking down stairs.,[73]
272,Someone is walking on stone steps.,[73]
273,Someone is walking and browsing a book in the library.,[73]
274,Walking and stopping to see paintings or photos.,[73]
275,Someone is walking on gravel.,[73]
276,Lapping waves and a departing fishing motor boat are heard.,[51]
277,Someone is walking over small pebbles.,[73]
278,A walk along a lake is being recorded.,[73]
279,Baby is crying and people are talking with footsteps in the leaves.,[73]
280,Children are walking in an association.,[73]
281,A bathroom fan is recorded.,[48]
282,Someone is walking with a guide's voice in an exposition.,[73]
283,People are walking near a guide.,[73]
284,People are walking.,[73]
285,Buses arriving and departing at a bus terminal.,[10]
286,Water is streaming down.,[66]
287,Someone is walking in an exposition.,[73]
288,A person is walking around a running car.,[73]
289,Jet engines are revving.,[0]
290,Someone is walking and listening.,[73]
291,Waves are lapping on a beach with a heavy industrial background.,[75]
292,"Cars and coaches are making strong background noises, with humming of a refrigerator and singing of crickets or cicadas in a park near a waterfall.",[22]
293,Someone is recording the sound of cupboard doors opening and closing.,[24]
294,Something is strummed and plucked.,[67]
295,Office printer ambient sound is being recorded.,[52]
296,Busses and distant traffic are heard at a bus terminal.,[10]
297,Gong being used as a plate reverb.,[38]
298,People are walking and talking in a park.,[73]
299,People are walking by a canal.,[73]
300,Strings are strummed and plucked.,[67]
301,Glitch loop is being created with a keyboard.,[20]
302,"Someone is running, stopping, drinking, and running again.",[56]
303,Man knocking hand off wooden box.,[44]
304,Someone is sneezing.,[64]
305,Footsteps of a person are getting closer and leaving.,[73]
306,A bathroom fan is being recorded.,[48]
307,A keyboard loop is circuit-bent.,[20]
308,Strange notes are coming from a keyboard.,[20]
309,"Footsteps, running footsteps, a lawn mower, and bird singing are heard.",[73]
310,A strumstick is being strummed and plucked.,[67]
311,Someone is walking in circles around a fountain.,[73]
312,Children are yelling.,[78]
313,Someone is unlocking and opening a drawer.,[27]
314,Someone is running while a dog is barking.,"[56, 4]"
315,Someone is walking through a swamp exhibit without footsteps.,[73]
316,A car is revving at a high RPM in neutral.,[0]
317,A car is revving at a high RPM.,[0]
318,Someone is walking on a gravel road.,[73]
319,A car is starting and revving.,[0]
320,Someone is typing on a computer keyboard and is upset.,[20]
321,"Heavy rain, thunder, dripping sounds, flute playing in distance.","[28, 55]"
322,Rain is falling and thunder is rumbling.,[55]
323,"Someone is clapping with a slight tinny quality, medium to fast tempo, and low energy.",[19]
324,"A dog is barking, a door is opening and closing, a car is passing, and other sounds are happening.","[4, 12]"
325,An amateur male singer is singing in falsetto voice.,[45]
326,People are walking by on the promenade with bathers from different countries.,[73]
327,A male voice is singing in falsetto in a performance.,[45]
328,A hissy sound is produced.,[42]
329,A vehicle is being accelerated.,[0]
330,"Water is being poured, making a slow, robust gurgle.",[39]
331,"A light, high pitched beer bottle is being smashed, tapped and hammered.",[68]
332,"A remixed woman's voice saying ""oh yeah"" is playing.",[32]
333,A tourist guide is speaking and footsteps are heard.,[73]
334,Someone is clapping.,[19]
335,"Hammer is tinging glass, shattering bottle, and making glass breaking sounds.",[59]
336,People are walking and talking on a seaside resort street.,[73]
337,The sound of an old camera motor running.,[51]
338,Someone is running towards her uncle and speaking to him.,[56]
339,A dog is barking and there is traffic and quietness.,[4]
340,An accordion is being played and a song is being sung.,[1]
341,A construction worker is knocking on metal with a hammer.,[44]
342,Waves are crushing on rocks and sand in a beach.,[75]
343,"Loud bottle smashing, tingling, and shattered glass sounds are being made.","[41, 59]"
344,People are talking and walking in a hall of a university with birds in the distance.,[73]
345,"Drums, cymbals, and xylophones are practicing.",[47]
346,Someone is walking around a supermarket.,[73]
347,Sea waves are hitting a pebble beach.,[75]
348,Construction worker is knocking on metal.,[44]
349,Cars are passing by with birds and a gap in traffic.,[12]
350,UPS is squeaking after electricity loss.,[65]
351,Cymbals and xylophones are being practiced.,[47]
352,Traffic is in the background and insects and crickets are in the foreground.,[22]
353,A vehicle is starting and revving.,[0]
354,Footsteps on creaky wooden stairs and a door closing are heard.,[73]
355,A self-help tape is being used with electronic feedback.,[68]
356,A cat is mewing and a dog is barking.,[4]
357,People are talking and walking in the background.,[73]
358,"People are talking, a motorbike, and water are making sounds.",[51]
359,Someone is running an old camera's motor.,"[56, 51]"
360,Streams are joining a river with birds singing.,[66]
361,"Sounds of sand martins, a passing plane, and cars crossing a cattle grid are being recorded on the banks of a river.",[12]
362,Someone is riding on a bus during rush hour.,[10]
363,Large rain drops are falling on a roof.,[55]
364,A medium stream is flowing through rocks.,[66]
365,"Workers are using a jackhammer, compressor and cars are passing by.",[12]
366,An UPS is squeaking.,[65]
367,Field recording at a motorcycle event.,[51]
368,Close up waves are on a rocky shore with gurgling water and cicadas in the background.,[39]
369,Car is being started and revved.,[0]
370,A motorway is making morning traffic noise.,"[51, 71]"
371,"The surf is lapping against rocks at the seaside promenade with tourists walking and talking, and a motorboat can be heard.","[73, 51]"
372,An amateur male singer is being recorded singing in falsetto voice.,[45]
373,An amateur male singer is singing during a concert.,[45]
374,A clip featuring a vehicle starting and revving is being played.,[0]
375,Traffic noise is recorded at a hotel.,[71]
376,A street protest with a medium crowd is happening.,[23]
377,Insects and a dog are barking.,[4]
378,"A door is being opened, closed, knocked and locked.",[44]
379,A female is speaking.,[32]
380,Sound of knocking against rattley wood of an old train carriage.,[44]
381,Church bells and hand bells are ringing.,[18]
382,Cars are passing at a crossroad.,[12]
383,A male singer is singing in falsetto voice with a traditional orchestra.,[45]
384,Car is revving.,[0]
385,A group of people are whispering.,[76]
386,A bass drum kick sound is generated.,[5]
387,A toilet is being flushed.,[70]
388,Someone is knocking on metal with a hammer.,[44]
389,"Hard drive is spinning up, writing, and spinning down.",[77]
390,A male voice is singing in an opera production.,[45]
391,"A sound between a gong, bell, and cymbal is synthesized.",[38]
392,A drain is dripping.,"[28, 55]"
393,Crickets are chirping in an olive grove.,"[17, 22]"
394,"Waves are close to a rocky shore, with water gurgles and cicadas in the background.",[39]
395,Caution announcement for moving walkway.,[73]
396,People are applauding after an orchestra finishes a tune in a café.,[3]
397,A baseball bat is slammed.,[63]
398,Sounds of rain and cars passing by are heard.,[12]
399,A squeaky drum loop is being played.,[65]
400,"Water is pouring and making splashing, gurgling, and trickling sounds.",[39]
401,An announcement for the next bus stop is playing.,[10]
402,"Footsteps, voices, some traffic, and cicadas are being heard.",[73]
403,Someone is walking in a market.,[73]
404,A fan is being turned on and off.,[48]
405,People are talking and walking before the trading bell.,[73]
406,A distant hissing thud in a large cave with a silent rolling and clacking echo.,[42]
407,"Tiny, weird fart is heard.",[30]
408,Footsteps are heard on a stormy night.,[73]
409,Keystrokes on a PC keyboard.,[20]
410,Traffic and man laughing engine and footsteps are in the background.,[73]
411,"Birds, traffic, people talking and walking are being heard.",[73]
412,A bulldog is barking and has been edited.,[4]
413,Birds and footsteps are heard.,[73]
414,Tractor is mowing hay and birds are chirping with a dog barking in the background.,"[17, 4]"
415,People are walking and talking in a metro.,[73]
416,Someone is making a farting sound.,[30]
417,Birds and people are walking and talking.,[73]
418,"Cars, motorbikes, and people are making sounds on a street.",[51]
419,"A motorbike starts its engine, water from a drain, and a car is passing by.","[51, 12]"
420,Birds are chirping and there are footsteps.,"[73, 17]"
421,"Female voice is saying ""welcome to."".",[32]
422,Air conditioner is on with birds chirping.,[17]
423,Traffic and people walking.,[73]
424,Automated announcements are recorded at a bus station.,[10]
425,Horses are walking by at a racetrack.,[73]
426,Someone is walking on white gravel.,[73]
427,Walking on white gravel from the left side of the person.,[73]
428,"A car is starting, revving and driving off.",[0]
429,A microwave door is opening.,[50]
430,Water is gurgling in the bath overflow hole.,[39]
431,Water is gurgling in a bath overflow hole.,[39]
432,Water is gurgling in a bath overflow hole and water is making noise from a tap.,"[74, 68, 39]"
433,A simple hihat is playing.,[41]
434,"Hard drive is spun up, written, and spun down.",[77]
435,"People are talking and walking, and a metro is approaching.",[73]
436,People are walking and talking.,[73]
437,Microwaves are starting and recorded.,[50]
438,Birds and people are heard talking and walking.,[73]
439,A washer is filling with water in a small room.,[33]
440,Horses are walking.,[73]
441,Someone is typing on a keyboard and clicking a mouse.,[20]
442,A clothes dryer door is being slammed shut.,[63]
443,"Horsepower is being recorded at a hot-rod festival, along with crowd and announcer ambiance.",[23]
444,Engines are revving-up.,[0]
445,Someone is experimenting with a kitchen oven grill.,[50]
446,Someone is knocking on wood.,[44]
447,A cooling fan is running.,[48]
448,A machine is ticking and clicking.,[69]
449,Cars are passing from right to left.,[12]
450,People are walking up stairs and talking.,[73]
451,"Ticket machine beeping, people walking and talking, and suitcase noise.",[73]
452,"Birds, footsteps, and traffic are heard in the background. Cars and motorbikes are passing by.","[73, 51, 12]"
453,Birds and footsteps are heard from right to left with traffic noise in the background.,"[73, 71]"
454,Golf balls and grilles are being played. Birds are chirping.,[17]
455,People are walking and information is being given.,[73]
456,Water being poured and faucet turned on.,[74]
457,A tractor is mowing the hay in a field with a dog barking and birds in the background.,[4]
458,"A hard drive is spinning up, writing, and spinning down.",[77]
459,"Birds, footsteps, a motorbike, and a seller with a speaker are present.","[73, 51]"
460,"A Maxtor hard drive close up is being spun up, written, and spun down.",[77]
461,Someone is walking in the streets after a snow storm.,[73]
462,People and traffic are walking in the street.,[73]
463,Light rain is falling steadily in a suburban area near the sea shore.,[55]
464,People are walking and a machine is beeping.,[73]
465,Horses are walking by at a park.,[73]
466,Birds and footsteps with golf in the background.,[73]
467,Walking past a musician in an underground location.,[73]
468,Cars are revving at a festival.,[0]
469,A dog is barking in a veterinarian hospital.,[4]
470,A door is opening and footsteps are walking fast.,[73]
471,Birds and footsteps can be heard in the background.,[73]
472,Someone is rattling a glass-paned cabinet door and opening a writing desk lid.,[77]
473,A clicking noise is heard while walking.,[73]
474,"Selling eggs with a bell and a motorbike, an angle grinder in the background.","[8, 51]"
475,A fan is being switched on.,[48]
476,People are walking and a seller is talking in the background.,[73]
477,Someone is tapping the ends of a sharpie.,[68]
478,People are using spray paint and walking on gravel.,[73]
479,A motorbike engine is operating.,[51]
480,Someone is experimenting on a keyboard.,[20]
481,MIG welding and ventilation fan are being recorded.,[48]
482,A toilet is flushing and filling.,[70]
483,"Traffic, chatter and church bells are being recorded.",[18]
484,Students are cheering up.,[13]
485,Someone is frying a steak in a pan and turning off the cooker hood.,"[26, 35]"
486,"Lighter rainfall on a tin roof, distant birds, and faint domestic sounds are heard in an old miners cottage's roof space.",[55]
487,Cut and spliced cassette tape loops with a groan.,[68]
488,Cassette tape is being spliced.,[68]
489,People are walking and talking in a market.,[73]
490,Footsteps on solid wood with female socks.,[73]
491,Birds are chirping.,[17]
492,Chicks are chirping.,[17]
493,A single cricket in a box is being recorded.,[22]
494,A soundwalk is being recorded.,[73]
495,Someone is screaming.,[58]
496,Someone is opening and shutting a zipper on a purse/wallet.,[79]
497,Water is running out of a tap.,"[74, 68]"
498,Someone is turning on a faucet.,[74]
499,An old metal office desk drawer is being opened.,[27]
500,Strange sounds are made with an electric guitar.,[29]
501,Water is flowing from a drain and someone is passing by with a cart.,[12]
502,Someone is walking on solid wood with female socks at a medium pace.,[73]
503,"A man is saying ""this is so heavy"" in a remix.",[46]
504,A woman is talking and sneezing.,[64]
505,Zipper is being opened.,[79]
506,Someone is walking with recording equipment.,[73]
507,Cassette tape loops are playing.,[68]
508,A wristwatch is ticking.,[69]
509,Water is dripping into a glass at medium speed.,[28]
510,People are walking in a staircase.,[73]
511,Traffic and footsteps.,[73]
512,A motorbike is passing by.,[51]
513,Someone is packing with adhesive tape.,[68]
514,A microwave is being used.,[50]
515,Someone is opening and closing a zippo lighter.,[79]
516,Wood is being knocked.,[44]
517,Someone is walking in the snow with leather shoes.,[73]
518,Noisy cassette tape loops are playing.,[68]
519,Cassette tape loops with music and a groan.,[68]
520,Writing effect is heard.,[77]
521,Pantry door is opening and closing with a squeak.,[65]
522,A squeaking door and a soprano sax are being played.,[65]
523,Old metal office desk drawer is being closed.,[27]
524,A metal office desk drawer is being opened.,[27]
525,Forest sounds with a jumping cricket.,[22]
526,An old metal office desk drawer being opened.,[27]
527,A kick drum sound made from a cricket.,[22]
528,"Little waves of a river at the mouth, distant sea waves and crickets in the background.","[75, 22]"
529,A bass drum is playing with a modulated pitch.,[5]
530,A bucket is being hit with scissors.,[57]
531,A walking exercise machine is producing a mechanical whoosing sound.,[73]
532,Light wind is blowing and birds are chirping in a village.,[17]
533,"A hard drive close up with spin up, writing, and spin down.",[77]
534,"A car is driving from a country road to the highway with halting, taking turns, coughing, accelerating, and cobbling.",[0]
535,A fan is running in a bathroom.,[48]
536,Rain is falling in a tube.,[55]
537,A drawer is being closed on an antique desk.,[27]
538,Waves are coming onto a beach with birds chirping.,"[17, 75]"
539,Water is flowing from a faucet.,[74]
540,Air conditioner and footsteps are heard.,[73]
541,"People are talking, adhesive tape is being used, bottles are being moved, and footsteps are being made in a supermarket.","[73, 68]"
542,"A calm downtown with birds, a barking dog, a river, wind, people talking, and a car passing.","[4, 12]"
543,Someone is shaking and tapping a matchbox.,[68]
544,Kids are present at a bus stop.,[10]
545,Black house cat motor sound.,[51]
546,Someone is walking on solid wood with bare feet.,[73]
547,Crickets are being recorded.,[22]
548,A female voice is speaking some words.,[32]
549,A bird is chirping.,[17]
550,Crickets and cicadas are being recorded.,[22]
551,"Equipment, footsteps, and noise are heard in a supermarket sales area.",[73]
552,A stream is running.,[66]
553,Chicks are chirping rapidly.,[17]
554,Distorted electric guitar in glitch mode.,[29]
555,A wooden door squeaks.,[65]
556,"An acoustic guitar is being cleaned, looped, and reverbed.",[2]
557,Wooden door squeaks.,[65]
558,"Footsteps, solid wood, female socks, on toes, slow pace.",[73]
559,An office desk drawer is being closed.,[27]
560,A clap is happening with reverb.,[19]
561,Waves against pebble beach.,[75]
562,A church bell is chiming in a garden.,[18]
563,People are talking and walking at an airport.,[73]
564,Rain is falling and running through a drain pipe.,[55]
565,Someone made an awesome synth fart.,[30]
566,A train is leaving a station and accelerating to full speed.,[0]
567,A clap creates reverb.,[19]
568,Someone is burping.,[9]
569,A burp is being recorded.,[9]
570,Someone is walking in a city and children are laughing.,[73]
571,People are talking and walking by.,[73]
572,Traffic and people walking are heard.,[73]
573,People are walking and playing and a sprinkler is on.,[73]
574,"People are eating, talking, and walking in a street food shop in a noisy area.",[73]
575,Sounds of playtime and a stream.,[66]
576,Someone is cutting with scissors.,[57]
577,A man is singing opera.,[45]
578,Someone is walking around a shopping area at an airport.,[73]
579,Owls are screaming for their parents.,[58]
580,Ocean waves and church bells are playing.,[18]
581,People and motorbikes are heard.,[51]
582,People and a motorbike are heard.,[51]
583,Cars and people are walking and talking.,[73]
584,Crickets are chirping.,"[17, 22]"
585,A medium-pitched clap is heard.,[19]
586,A sound of an electric drill motor.,[51]
587,Water from a stream is flowing.,[66]
588,People are applauding in a concert hall.,[3]
589,Low traffic is heard on a road with a motorbike engine and people walking.,"[73, 51]"
590,Sound of water from a stream is heard.,[66]
591,Water is flowing in a stream.,[66]
592,A blurred version of a dripping sound.,[28]
