,caption,class
100,Plane propellers whir loudly,0
101,An airplane is heading for an airport.,0
102,"A man is shouting, metal is crashing, and a plane is approaching near cicadas.",0
103,An airplane beginning to take off and off into the air.,0
104,A commercial plane is landing.,0
105,Humming and whooshing of a distant airplane,0
106,A plane is sputtering on the ground.,0
107,Humming and whooshing of a passing plane,0
108,Remote control model airplane and voices are being recorded.,0
109,Light plane is flying nearby.,0
110,A sailplane is touching down.,0
111,A fighter plane is passing.,0
112,An airplane motor is running and the plane is getting farther away.,0
113,A synthetic sound of a propeller driven airplane is idling.,0
114,A space cruiser inspects and disappears from a runway on a planet.,0
115,Planes are passing overhead.,0
116,An airplane is landing.,0
117,A stunt plane flyby.,0
118,Someone is using a jack plane.,0
119,A plane is taking off from a runway.,0
120,An airplane flies overhead while a faucet leaks a bit.,0
121,A plane is maneuvering on the ground.,0
122,An airplane takes off,0
123,An airplane is starting and stopping.,0
124,An airplane and a truck are overlapping.,0
125,An airplane is taking off and climbing.,0
126,A synthetic ambiance is looping reminiscent of planetary weirdness.,0
127,"Planes diving, zooming, and gunfire are heard.",0
128,An evil robot or an old air pump is breathing in and out.,1
129,A horse is breathing and licking.,1
130,Breath is light whistling on humanatone.,1
131,A human male is breathing.,1
132,Breathing and sniffing sounds are being recorded.,1
133,A young boy is breathing as though frightened.,1
134,Heavy breathing is being simulated.,1
135,Ghostly breath sound effects are present.,1
136,"A lion is growling, roaring and breathing.",1
137,A woman speaks while a domestic animal breathes heavily,1
138,People are breathing.,1
139,A full-spectrum breath through an alto sax.,1
140,A breath is electronically treated.,1
141,Chirping occurs along with scrapping and breathing,1
142,Breaths are being processed to sound like a musical instrument.,1
143,"Someone sniffles and cries, gasps for breath and sniffles some more",1
144,Something breathes lightly,1
145,Something breathing into a potters mask.,1
146,"A giant tortoise is breathing, hissing, and drinking.",1
147,Gasps and breathing sounds.,1
148,A piano is being manipulated with breathing rhythm.,1
149,Submarine workers are breathing and fumbling.,1
150,Animals are breathing in the water. Gulls are in the background.,1
151,A remix of breathing sounds is being made.,1
152,"A loud, consistent sound is playing while a person is breathing in the background.",1
153,Calm breathing through the nose is heard.,1
154,Someone is heavy breathing while sleeping.,1
155,A male is struggling to breathe.,1
156,Breathing sounds are being recorded underwater.,1
157,Someone is breathing heavily in pain.,1
158,Someone is breathing and wheezing during a scene with a man being threatened by a gun.,1
159,Someone is breathing into a balloon.,1
160,Someone breathes heavily and fires a gun,1
161,A duck breathes heavily nearby. Multiple times,1
162,A baby is breathing in bed.,1
163,A breathless monster is making a sound.,1
164,Someone breathes erratically and then a beep and another beep and then a rush of air is breathed out,1
165,Breathing sounds are being recorded.,1
166,Voice and breathing are recorded.,1
167,A large group of caribou is approaching and passing by the microphone. Hoofbeats and breathing sounds are heard.,1
168,Sound of a short breath followed by a long exhale.,1
169,A karate class is making audible punches and kicks and breathing exercises.,1
170,Bus running and heavy breathing,1
171,"A pride of lions is feeding on a buffalo carcass. Snarls, growls, howls, hisses and heavy breathing. Conflicts caused by younger members approaching to feed.",1
172,Someone is breathing in and out of a balloon.,1
173,A bandfiltered and looped breathing sound is present.,1
174,An organ is sounding with a phaser and breathing effect.,1
175,Someone breathes into a mic.,1
176,Someone is breathing heavily with swallowing and vocal sighs.,1
177,Ogre or large monster is breathing out.,1
178,Someone's breath sounds like a ghost/phantom.,1
179,"Grunts, squeals, breathing, and excited calls from cubs are present.",1
180,Someone is breathing as a ghost.,1
181,A heavy breath of sigh and a very active fire.,1
182,Someone is breathing with granulated noise.,1
183,A filtered and breathy percussion loop is playing.,1
184,Someone is jogging and breathing.,1
185,An old and sick man is breathing heavily.,1
186,"The sound of breathing and in the background, the faint sound of an aircraft going by",1
187,A hollow Gas mask breathing is being recorded.,1
188,Someone is breathing with a mask on.,1
189,Someone is making a mournful breath sound.,1
190,Breathing sounds are being heard.,1
191,An animal breathes fast while a man talks,1
192,Someone is breathing with a sobbing sound effect.,1
193,Sounds of an alien heartbeat and breathing under its helmet.,1
194,A man is talking fast with puffs of breath into a microphone occasionally,1
195,Someone heavily breathing close to the microphone.,1
196,"Horse is running on dirt, breathing heavily.",1
197,Breaths are being processed.,1
198,A woman is breathing quickly in and out.,1
199,A Chihuahua is breathing and licking.,1
200,"Electrical humming, some breathing",1
201,Someone is clearing their throat and taking a breath.,1
202,Someone is breathing tiredly.,1
203,Breathing with a woman speaking softly,1
204,Breath is whistling.,1
205,Someone is breathing out tired.,1
206,Someone is taking a slow breath.,1
207,"Someone is lighter, smoking a cigarette, and breathing.",1
208,A horse is breathing and a man is talking.,1
209,Someone is breathing heavily while wearing a mask.,1
210,Someone is taking a long breath.,1
211,A donkey is breathing.,1
212,A horse is munching and breathing close to the microphone and hooves are on stones and there is jingling from a harness.,1
213,A person wheezes and breathes heavily,1
214,A breath is being taken.,1
215,Male breathing is making otherworldly noises.,1
216,A woman is breathing deeply.,1
217,A woman is breathing while delivering a baby.,1
218,Breathing has stopped while someone is asleep.,1
219,Someone is breathing out with effects.,1
220,An electric eel is pulsing and discharging as it comes to the surface to breathe.,1
221,"Rapid gunfire shots, someone breathes deeply and more rapid gunshots",1
222,Someone is breathing into a plastic bottle.,1
223,Someone is breathing weirdly.,1
224,Someone is blowing out a candle with a single breath.,1
225,A person is breathing slowly and steadily throughout.,1
226,Soft rustling and a person breathing,1
227,Someone is breathing heavily. Another person is breathing.,1
228,Someone is heavily breathing with steps and a transformer plant hum in the background.,1
229,A body is falling on the ground with fabric noise and breathing.,1
230,Heavy breathing and a horse galloping past a microphone.,1
231,Someone is breathing and recording sounds in a forest.,1
232,Someone is breathing in.,1
233,Someone is combining sounds of moaning and heavy breathing with something.,1
234,Something scraps against wood as a man breathes heavily up close,1
235,Someone is gasping and taking a scared breath.,1
236,A pony is galloping and breathing heavily.,1
237,A giant anteater is moving and sniffing. Occasional human breath can be heard in the foreground.,1
238,Intermittent tapping with heavy breathing and rustling,1
239,"Someone is breathing hard, soft and normal.",1
240,A person is breathing underwater.,1
241,"Someone is walking and breathing, recorded.",1
242,A quick deep breath is being taken.,1
243,"Someone is grunting, surprised, and breathing.",1
244,Someone is breathing quickly and then tiredly panting.,1
245,Water goes in a sink then the sink is turned off and a person begins to breath heavily,1
246,Heavy breathing followed by a woman speaking,1
247,Breaths are being demonstrated.,1
248,A sample of a male out of breath is being played.,1
249,Accordion breathing is being heard.,1
250,Heavy breathing followed by muffled male speech,1
251,Someone is drinking water with gulps and breath.,1
252,Rain on breathable membrane is recorded.,1
253,Something is breathing.,1
254,A dark drone with high pitched breathing sound is playing.,1
255,Sound of a dying breath is heard.,1
256,"Someone uses a toothbrush, turns on the faucet, brushes again and then rinses.",2
257,Someone is brushing teeth and experimenting with sounds.,2
258,Electric toothbrush is running.,2
259,Someone is rubbing thumb over plastic hair brush teeth at various speeds.,2
260,Someone is brushing their teeth and drinking.,2
261,Binaural stereo electric toothbrush sound.,2
262,Someone is experimenting with a contact mic on an electric toothbrush.,2
263,An electric toothbrush is being used close to the microphone.,2
264,Someone is putting a toothbrush back into a cup.,2
265,Someone is using a drill for cleaning teeth to clean out the teeth of someone.,2
266,Someone brushing their teeth with an electric toothbrush.,2
267,Someone was brushing her teeth at a fast pace.,2
268,Teeth cleaning sound is being made.,2
269,Someone brushing their teeth vigorously and the shifting of a toothbrush.,2
270,Someone is brushing their teeth and spitting water.,2
271,Someone is cleaning teeth in a bathroom.,2
272,Teeth are brushed with a toothbrush.,2
273,Someone is brushing their teeth hard while a noticeable shifting of a toothbrush.,2
274,Someone is brushing their teeth with a toothbrush.,2
275,Someone is brushing with a toothbrush.,2
276,An electric toothbrush is being used.,2
277,Someone is brushing their teeth without toothpaste.,2
278,"Someone is brushing their teeth, rinsing, and spitting.",2
279,A toothbrush is being used.,2
280,An electric toothbrush is producing a high-pitched sound.,2
281,Brush-teeth sound loop is playing.,2
282,Brushing teeth and gargling with mouthwash is heard in binaural stereo.,2
283,Someone is making a sound by brushing an old toothbrush across a wooden surface.,2
284,Someone is pulling back the teeth of a brush.,2
285,Someone is brushing their teeth in a small bathroom.,2
286,The sound of turning on an electric toothbrush.,2
287,A toothbrush is being stored in a bathroom cabinet.,2
288,Electric toothbrushes and background noise are making sounds.,2
289,Someone is rubbing a toothbrush on a smooth wall.,2
290,An electric toothbrush is being turned on.,2
291,A person cleans their teeth by rubbing them with a toothbrush.,2
292,Someone is brushing their teeth normally.,2
293,Someone is brushing their teeth on wood.,2
294,Electric toothbrush is starting up.,2
295,Brushing teeth is recorded.,2
296,"Something is running, like a toothbrush.",2
297,Teeth brushing sound is heard with tremolo effect.,2
298,Someone brushing teeth and spitting.,2
299,The buzz of an electric toothbrush.,2
300,Someone brushes their teeth and turns off the water.,2
301,Someone is brushing their teeth with various intensities and spitting into the sink.,2
302,"Someone brushes their teeth, then rinses their mouth out.",2
303,Different sounds are being made with an electric toothbrush.,2
304,Someone is brushing their teeth in a public place.,2
305,Teeth are being brushed in an empty bathroom then turning on the sink before resuming and gurgling something.,2
306,Someone is touching a toothbrush.,2
307,Someone is turning on the water to wet their toothbrush.,2
308,Someone is spitting after brushing their teeth.,2
309,Someone is brushing their teeth close up.,2
310,An electric toothbrush is humming.,2
311,Person brushing teeth in a small loud bathroom.,2
312,An electric toothbrush is producing a lowmid-pitched sound.,2
313,Someone is using an electric toothbrush and opening and closing their mouth.,2
314,Tooth brushes rubbing against each other.,2
315,Teeth are brushing.,2
316,Electric toothbrush is being pushed against a surface.,2
317,Someone is brushing their teeth with a manual toothbrush and toothpaste.,2
318,Someone is flicking the teeth of a brush.,2
319,Someone is turning an electric toothbrush on and off.,2
320,Someone is switching the modes of an electric toothbrush.,2
321,Electric toothbrush operating.,2
322,Someone is brushing their teeth with an electric toothbrush.,2
323,Someone is brushing teeth in a bathroom.,2
324,Someone is brushing teeth and rinsing at the sink.,2
325,Someone is passing a toothbrush over a cheese grater.,2
326,Teeth are being brushed with a toothbrush and paste.,2
327,A sound of an electric teeth brush.,2
328,"Someone is brushing teeth, rinsing, gargling, spitting, and turning on and off a bathroom sink.",2
329,Someone is brushing their teeth.,2
330,Brushing teeth with toothpaste.,2
331,An electric toothbrush is making flyby sounds.,2
332,Someone is brushing their teeth and spitting in a sink.,2
333,An electric toothbrush is being turned on and off.,2
334,Someone is moving a toothbrush across stereo field.,2
335,Someone is brushing their teeth in the bathroom.,2
336,Someone is brushing their teeth with water.,2
337,An electric motor of a toothbrush is being turned on and off.,2
338,Cleaning teeth with toothbrush.,2
339,Noises made while cleaning teeth or moving the mouth are being heard.,2
340,The person was brushing their teeth at a fast pace.,2
341,An electric toothbrush is being recorded on low power.,2
342,An electric toothbrush is buzzing.,2
343,Someone is cleaning a bassoon reed tip profiler with a toothbrush.,2
344,A toothbrush is moving around in a mouth and scrubbing.,2
345,An electric toothbrush is in contact with a panel.,2
346,Someone aggressively brushing their teeth with a toothbrush.,2
347,A toothbrush is being dropped onto a counter.,2
348,A person is using a toothbrush to brush their teeth.,2
349,A woman is brushing her teeth and walking around.,2
350,Someone is brushing their teeth and spitting.,2
351,Factory sound is playing using brush-teeth sound loops.,2
352,An electrical toothbrush is being used without a brush-head.,2
353,Someone is brushing teeth and spitting out toothpaste.,2
354,Someone is brushing their teeth after breakfast.,2
355,"Someone is brushing teeth, rinsing, and spitting.",2
356,Electric toothbrush is used.,2
357,Someone is cleaning teeth with a toothbrush.,2
358,Someone is turning on and off an electric toothbrush.,2
359,Someone is brushing their teeth with a manual toothbrush.,2
360,The sound of a toothbrush going in and out of a holder is heard.,2
361,Someone is aggressively brushing their teeth with a toothbrush.,2
362,Someone is brushing their teeth in a bathroom.,2
363,Some one is brushing their teeth very quickly.,2
364,Teeth are being cleaned with a toothbrush.,2
365,Sound of brushing teeth.,2
366,Electric toothbrush is being used.,2
367,A toothbrush is pressed against a speaker membrane.,2
368,An electrical motor noise from a toothbrush is being picked up at the center of its body.,2
369,Electric toothbrush is turned on and off inside and outside of someone's mouth.,2
370,The sound of a toothbrush is heard.,2
371,An electrical toothbrush is being used.,2
372,Tooth cleaning sounds are being made.,2
373,Sound of an electric toothbrush.,2
374,Finger is dragging across toothbrush bristles.,2
375,Brushing teeth is happening.,2
376,A child is saying 'toothbrush.'.,2
377,Teeth are being brushed.,2
378,Someone is brushing their teeth and spitting out toothpaste.,2
379,"A clanking sound, then the buzz of an electric toothbrush, and silence as it switches off.",2
380,Someone is brushing teeth.,2
381,Someone is brushing their phone with an electric toothbrush.,2
382,Toothbrush vibrations are being recorded.,2
383,Children are brushing their teeth.,2
384,A soda can is opening.,3
385,A trashcan is opening and closing.,3
386,Metal trashcan opening and closing.,3
387,Someone is opening a can inside a car.,3
388,Drinks can being opened with liquid fizzing.,3
389,A can is being opened with effects.,3
390,Someone opening cans.,3
391,A candy wrapper is being opened.,3
392,A spray can is being twisted open and sprayed.,3
393,Someone is throwing trash in an open trashcan.,3
394,Someone is opening a wrapper with candy.,3
395,An electric can opener is opening a metal can.,3
396,"A short phrase ""the one you can't wait to open."".",3
397,A metal trash can is being opened and rustled through.,3
398,A pecan is being broken open with a metal nutcracker.,3
399,A metal trashcan lid is being opened.,3
400,A trash can is opening and closing.,3
401,A can is being opened.,3
402,Sounds of a hurricane lantern being opened and closed using its lever.,3
403,A can of energy drink is being opened in the countryside.,3
404,Someone is opening a can and it sounds like water droplets.,3
405,Someone is opening a carbonated drink can.,3
406,Can of soda being popped open.,3
407,"The sound of opening a soda can, opening a carbonated drink, and the pressure of a door releasing is heard.",3
408,Someone chews candy and opening a wrapper,3
409,Someone is opening and drinking from a can.,3
410,A can is put in position on an electric can opener and the can begins to be opened.,3
411,Canal locks and sluices are being opened.,3
412,Someone is opening a drink can.,3
413,Opening a can of carbonated beverage.,3
414,A fizzy drink can is being opened.,3
415,Soda can is being opened and fizzing away.,3
416,The electric can opener is opening a tin can.,3
417,Trashcan is opening.,3
418,Someone is opening cans.,3
419,Someone is opening a candy bar wrapper.,3
420,Someone opening a can.,3
421,The electric can opener is opening a metal can.,3
422,A can of soda is being opened.,3
423,A can of coke is being opened during a recording session.,3
424,Someone is opening different cans and bottles.,3
425,The opening and closing of bus doors can be heard.,3
426,An aluminum can is being opened.,3
427,Children are playing in a street and car doors are opening and closing. Traffic can be heard.,3
428,Soda can being opened and burped.,3
429,Shaving foam can is being opened and closed.,3
430,Sound of a tin can opening.,3
431,A can of cola is being opened.,3
432,An open can is being opened.,3
433,A pelican case is being opened.,3
434,Beer can is being opened.,3
435,Someone is opening a small soda can.,3
436,A can of pop is being opened and placed on a table a few times.,3
437,Someone is opening and drinking a soda can.,3
438,Someone is opening an aluminum can filled with beer.,3
439,Soda can is opening.,3
440,A can of beer is being opened.,3
441,Someone is popping open a soda can.,3
442,Someone is cracking open a can.,3
443,A trashcan is being opened and closed.,3
444,Metal trashcan lid is being opened.,3
445,Can is being opened before taking a drink.,3
446,Someone is opening and closing a tin storage can.,3
447,Opening a candy/sweet packet.,3
448,Someone is opening a canned drink.,3
449,Lift doors are opening and a ventilator hum can be heard.,3
450,Dishes clang and a can opens up,3
451,Someone is opening a can.,3
452,Someone is opening a can and modifying the sound.,3
453,A soda can is being opened from the fridge.,3
454,A pressurized tennis ball can is being opened with a crack-hiss.,3
455,An old can opener is struggling to work.,3
456,Someone is breaking open a pecan using a metal nutcracker.,3
457,Can being opened.,3
458,Someone is opening a can of seltzer water.,3
459,Someone is breaking open a pecan.,3
460,Someone is cracking open a soft-drink can.,3
461,"Someone is using a can opener, opening a tin and emptying its contents into a saucepan.",3
462,An old squeaky tap is forced open so that a large volume of water can gush and drain out.,3
463,"Someone opens a can of coffee, scoops, and brews it.",3
464,A can is being opened with the sound of carbonated bubbles and fingers rubbing and flicking the can tab.,3
465,A can of beer is being opened with a pop.,3
466,A can of beer or soda is being opened.,3
467,A pecan is being broken open.,3
468,Garbage can is being opened and closed.,3
469,The can is opened with the can opener and the lid is removed.,3
470,A pelican case is opening.,3
471,Opening a soda can.,3
472,Someone is opening a carbonated can.,3
473,Someone is opening and drinking a coke can.,3
474,Someone is opening an aluminum can.,3
475,Beer can opening.,3
476,A person is opening up many different cans.,3
477,Someone is opening a can of carbonated water.,3
478,Aluminum can opening.,3
479,Someone is opening candy from the wrapper.,3
480,Someone is opening a can of soda pop.,3
481,Someone puts a can on the counter and opens it with a can opener.,3
482,"The sound of a performer filling a watering can, both with the door open and closed.",3
483,A metal trash can is opening and closing.,3
484,Someone is opening a food can with a tool.,3
485,A garbage can is being opened and closed.,3
486,Someone is opening and closing a can jar.,3
487,A trash can is being opened.,3
488,Someone is opening a soda can and it sparkles.,3
489,A trash can lid is opening and closing.,3
490,Someone is opening a soda or beer can.,3
491,Someone is opening a box of candy.,3
492,A mechanical electric can-opener is running and making noise.,3
493,Candy is being opened.,3
494,Someone is opening a can of soda.,3
495,An electromagnetic scan of a valve opening and closing is present.,3
496,Someone is opening a can of soda with a mild fizz sound.,3
497,A tea can is opened.,3
498,Someone is opening and closing a metal flap of a trashcan/litterbin.,3
499,A can of fizzy drink is opened.,3
500,A candy wrapper is being noisily opened and fidgeted with.,3
501,Someone is opening a beer can.,3
502,A deodorant can is being sprayed in an open space.,3
503,Someone is opening and closing an electric kitchen trash can.,3
504,Someone is opening a bag of candy.,3
505,Someone is opening a soda can.,3
506,The opening sound of a can.,3
507,Someone is opening a coke can.,3
508,Someone is walking and you can hear tourists and a local band's open-air concert.,3
509,A Monster Energy can is being opened.,3
510,Someone is opening a water canteen.,3
511,Soft drink can cracking open and fizzing.,3
512,Car horns are being heard near a clock tower.,4
513,Cars are honking their horns in a traffic jam.,4
514,A car horn blowing with speech and water,4
515,Cars and horns are in a street.,4
516,A car horn honks melodically in different tones and then a man speaks briefly,4
517,A car horn tone is playing.,4
518,Car horns honking with traffic noises,4
519,"Busy market ambience with car horns, motorcycle sounds, and people walking and talking.",4
520,Car horn honking with muted voices in background,4
521,A car horn is being played.,4
522,"Car screeches, stops, and honks.",4
523,"Cars, horns, and brakes are heard driving by.",4
524,A classic car horn is being sounded.,4
525,"People are shouting, singing and honking cars in the streets.",4
526,A car horn is sounding from a distance.,4
527,"A racing car motor is running and passes by, and an air horn blows",4
528,"A group of people talk while someone gets in their car to leave, beeping their horn at someone",4
529,"A car is approaching with a horn, stopping, and departing.",4
530,Car horn is honking.,4
531,Multiple cars rapidly honk and someone speaks,4
532,Car honking horn,4
533,Car horn is going bad.,4
534,Someone is pretending to honk like a car horn,4
535,A car horn honks several times loudly nearby,4
536,"A marriage procession is taking place with a band, car horns, and speech.",4
537,Car motor revving followed by a male speaking and a car honking,4
538,People are speaking as others are blowing instruments and then a car horn honks.,4
539,A toy car horn is beeping.,4
540,Cars and horns in an oil field.,4
541,"It has street noises; people talking, car horns and whistles.",4
542,Cars are honking at each other.,4
543,Car horn honking and driving away,4
544,A car is passing with its horn.,4
545,A car is honking,4
546,Someone is honking a car horn.,4
547,Car horns are momentarily stopped in traffic.,4
548,Car horn is sounding loudly and continuously.,4
549,A few people are yelling while a car horn is being honked.,4
550,Numerous car horns overlap as a person briefly screams.,4
551,Repeated pinging precedes a young man speaking and a car horn,4
552,A car horn is blowing in traffic.,4
553,A vehicle passes by and two cars beep their horns.,4
554,People speak and car horns honk,4
555,Cars are passing by at a medium pace and honking their horns,4
556,A car drives up close and toots a horn softly,4
557,A race car is accelerating away then a horn blows and tires squeal,4
558,A car is running and honking.,4
559,"Heavy traffic flows, multiple car horns and some screaming",4
560,Car horns and speeds up while people talks,4
561,"Static followed by a car honking then moments later multiple cars are roaring, speeding and racing",4
562,A car horn honking loudly,4
563,Veteran cars are honking their horns and approaching and stopping.,4
564,"Stuck tires of a car spin in the snow, people talk while pushing car then the driver blows the horn.",4
565,Cars drive and honk once in a while.,4
566,Car horn sounds when someone is angry or rushing.,4
567,"Pine beetles are destroying a tree and ambiance of cars, horns, and rural atmosphere is playing.",4
568,Cars are controlled and jammed with honking and whistling.,4
569,Car horn beeping different tones,4
570,Cars are honking at a demonstration.,4
571,"A donkey cart is passing by, the driver is shouting in busy traffic with horn honks.",4
572,A car's horn is being applied.,4
573,A growl from a motorcycle with a car honking while passing by,4
574,A woman talks the whole time as far away traffic sounds and car honks are in the background,4
575,"Cars running in the background while people are talking, then a car honks",4
576,"Sounds of a busy intersection with honking cars, street vendor voices, and whistle sounds.",4
577,A large old car horn is going by quickly.,4
578,People are talking in the distance while noises are reverberating and then a car horn is honking.,4
579,Cars pass as horns honk,4
580,Car horn is honking in irritation.,4
581,A car is unlocking and locking with a horn.,4
582,A car idles and honks its horn,4
583,A car horn beeps,4
584,A car is honking in the distance.,4
585,Cars are going by and honking while a woman is talking.,4
586,A vintage car is honking its horn.,4
587,A car is honking its horn.,4
588,A car is passing by with its horn blaring.,4
589,Car horns are in street protest.,4
590,"Over the distant hum of the city, a car horn honks before a beep occurs nearby.",4
591,A car horn honks multiple times nearby,4
592,Some jingling followed by car horns,4
593,A man speaking through a megaphone in the distance followed by several vehicle horns honking as cars drive by at a slow rate,4
594,Beeping of several car horns,4
595,A vehicle driving then a vehicle car horn honking followed by a vehicle accelerating,4
596,"People talk nearby quietly, and then a car horn honks at moderate volume",4
597,Plastic clanking followed by a series of car horn honking then more plastic clanking,4
598,A horn on a car is being sounded.,4
599,"A vehicle idles, and then a car horn honks several times",4
600,"The sound of a railroad car screeching on the tracks, and then honking",4
601,"A police car is starting, running with a horn, and stopping.",4
602,A car horn is being recorded from under the hood.,4
603,A car horn honks and echoes,4
604,"Out in the road, a far little horn of a car, the vehicle passing by",4
605,A car is approaching and passing with a horn.,4
606,Cars are driving and honking.,4
607,A horse drawn carriage and car horn honking in an urban area.,4
608,A guys speak and then a loud car horn blares,4
609,Distant car horns.,4
610,All at the same time a man speaks a car horn honks and beeps,4
611,A car horn is being used with a variation of a short horn and a longer horn.,4
612,Traffic hum and car horns in the distance.,4
613,"Car horns, bikes, and people shouting after a football game win.",4
614,Cars and horns are heard.,4
615,Traffic and a car horn are heard.,4
616,A person speaks followed by a car horn,4
617,A horn sounds constantly while a car is scraping and stepping on a surface.,4
618,Cars and motorcycles are honking.,4
619,Someone honks a car horn,4
620,Rain falls and a car horn blows,4
621,"A car crash is happening with approaching horns, skids, and crashes.",4
622,A car's honk when locking its doors.,4
623,A very busy street with several cars honking their horns.,4
624,"Heavy congested traffic with annoyed drivers, horns, motorcycles, rickshaws, cars, trucks, high frequency, and police whistles.",4
625,Car horn beeping outside,4
626,A car is passing and honking with a doppler effect.,4
627,"A device beeps, followed by a car horn honking loudly",4
628,"Traffic flows, brakes squeak, a car horn is honked",4
629,Cars are passing and honking.,4
630,A police car is departing with a martinhorn.,4
631,"A car idles, and then starts revving up as a car horn sounds",4
632,A police car is stationary with a martinhorn.,4
633,Cars are honking and making other traffic sounds.,4
634,A car brakes and squeals the brakes and car horns start to beep.,4
635,"High traffic, car horns, and speech can be heard from a hotel room.",4
636,There are sounds of several cars and horns.,4
637,A car is honking and people are moving in a market.,4
638,"As the car drives through, it is accompanied by several short honks.",4
639,"A truck approaches and passes by, a car door opens and closes and a car horn beeps.",4
640,A cat purrs and meows,5
641,User interface sounds are being made with a granular scatter processor and sliding time scale/pitch shift.,5
642,A cat is drinking water in a flat.,5
643,Indicators are heard in a light van.,5
644,An Alfaia (Maracatu bass drum) rim is being hit.,5
645,A looped pizzicato violin sample is being created with echo and reverb.,5
646,Water in a fountain located in a cathedral can be heard.,5
647,"A cat is meowing, growling, and purring.",5
648,A cat hissing and rustling something,5
649,Someone's cat is making a sound with reverb.,5
650,Someone is using a reciprocating saw at a construction site.,5
651,Cat meowing and distant speech,5
652,A cat is opening and going through a pet door.,5
653,"Children talking, cat meows, objects banging against each other",5
654,A cat is hissing and growling.,5
